Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
31.01739325,-1.60876637,-1.501194851,-0.9921000034,2.413706202
31.02739325,-1.567582822,-1.315327653,0.03110426366,2.046550809
31.03739325,-1.448890045,-1.351245344,1.18210703,2.307059465
31.04739225,-0.7860786954,-1.208585562,2.373502947,2.777069501
31.05739225,-0.2380742092,-1.174270592,2.842166637,3.084396529
31.06739225,-0.4369850837,-1.804921744,2.409275628,3.041924969
31.07739225,-0.3981320167,-2.36239733,2.067944414,3.16477872
31.08739125,0.4784412579,-2.46384009,1.983412387,3.198959006
31.09739125,1.330599995,-2.558650353,1.999985735,3.509577028
31.10739125,2.526864889,-2.216911004,2.072815145,3.949215515
31.11739025,3.277900563,-1.402523087,1.618857787,3.915661329
31.12739025,3.189012652,-0.7919463032,0.4756920433,3.320130052
31.13739025,2.851138313,-0.7542440414,-0.1513002133,2.953094226
31.14739025,2.621607324,-0.7918170798,-0.4414595193,2.773929659
31.15738925,1.821254771,-1.474482723,-0.3108105022,2.363825588
31.16738925,1.400442209,-2.144396466,0.7483699286,2.668282619
31.17738925,2.213231789,-2.541565958,2.150733971,3.997950611
31.18738825,3.459559812,-2.885152735,3.109510692,5.473729729
31.19738825,4.822600745,-2.826422132,3.545947453,6.619658855
31.20738825,5.869031029,-2.362068717,3.779282933,7.369387582
31.21738825,6.193445079,-1.869348412,3.404374668,7.310471415
31.22738725,5.69723574,-1.869150776,2.513982303,6.501717214
31.23738725,4.940425356,-1.899159272,2.388553095,5.806874764
31.24738725,4.424667022,-1.925895081,2.682068703,5.520891472
31.25738625,4.612838023,-2.038605132,2.816901403,5.776600992
31.26738625,5.129615527,-2.154768842,2.501824772,6.100418953
31.27738625,5.905045785,-1.982325682,2.038801891,6.554074609
31.28738625,6.736989967,-1.601085759,1.673270221,7.123927474
31.29738525,7.493857654,-1.411987682,1.127142618,7.7085707
31.30738496,8.040116234,-1.481454943,0.7198062801,8.207088332
31.31738496,8.208201465,-1.560902816,0.7257757026,8.386759759
31.32738396,8.173622201,-1.662318679,0.9054179549,8.389945468
31.33738396,8.038529885,-1.826840031,1.131826238,8.320837569
31.34738396,7.605606131,-2.009530145,1.393953992,7.989152881
31.35738396,7.445780677,-2.222065617,2.086656674,8.045580251
31.36738296,7.611011297,-2.639368241,2.938165639,8.574763845
31.37738296,8.242407092,-2.808535207,3.284105628,9.306475942
31.38738296,8.68793335,-3.015881859,2.859403644,9.630779744
31.39738196,8.656877618,-2.836174995,2.079931791,9.344064156
31.40738196,8.540044402,-2.322654975,1.194690238,8.930530179
31.41738196,8.411450096,-2.068708353,0.3149561781,8.667828123
31.42738196,8.42543839,-1.999440482,-0.3159238923,8.665193721
31.43738096,8.485240204,-2.053667852,-0.7126405174,8.759264208
31.44738096,8.44320457,-2.347008921,-0.5226668197,8.778914221
31.45738096,8.268841769,-2.586277862,-0.1521650165,8.665202339
31.46737996,8.345926198,-2.655819383,0.04593981922,8.758422869
31.47737996,8.771792947,-2.928617136,0.151250512,9.249001381
31.48737996,9.387531652,-3.149300995,0.4193669844,9.910586055
31.49737996,10.02283514,-3.189580125,0.5954576379,10.53495209
31.50737896,10.22976927,-3.271437928,0.7230818903,10.76444764
31.51737896,10.00483858,-3.288493671,0.9356948376,10.572914
31.52737896,9.33007925,-3.339595997,0.9943710619,9.959520774
31.53737796,8.503408087,-3.275458181,0.9870012313,9.165737659
31.54737796,7.860160571,-3.571031131,1.007940111,8.691969329
31.55737796,7.220286314,-3.968942927,1.632240894,8.399360258
31.56737796,6.777015912,-4.097794803,2.794780217,8.398253591
31.57737696,6.226199427,-4.2385022,4.148549219,8.598890674
31.58737696,5.943754352,-4.388335347,5.255971518,9.067024844
31.59737696,5.832235671,-4.593390768,6.314647919,9.746229528
31.60737596,5.460543959,-4.431545686,6.925383162,9.870008583
31.61737596,4.161257266,-4.15171958,6.60207716,8.839697977
31.62737596,2.868733754,-3.869788476,4.9246981,6.888943865
31.63737596,1.711624009,-3.148576817,2.787430851,4.54015016
31.64737496,0.8886606389,-2.405040197,0.6691384023,2.649845709
31.65737496,0.5536786243,-1.950461572,-1.075622801,2.295174236
31.66737496,0.9268221994,-1.331776163,-2.179099399,2.716818236
31.67737396,1.432595024,-0.7007095662,-2.803598987,3.225444106
31.68737396,1.606676136,-0.3994431818,-3.030905403,3.453599662
31.69737396,1.413722113,-0.4622896403,-2.691804902,3.075408193
31.70737396,0.3396832491,-0.5097292703,-1.618370714,1.73041394
31.71737296,-0.8096212667,-0.8487850401,-0.01760538161,1.1731294
31.72737296,-1.221293461,-0.9491106892,2.555543727,2.987167983
31.73737296,-1.294654968,-1.444721273,4.410188731,4.817999137
31.74737196,-1.454178998,-2.144077501,2.810572962,3.822437084
31.75737196,-1.789383937,-2.369426561,-1.049488671,3.149206816
31.76737196,-2.668706938,-2.404411621,-4.969584251,6.131880592
31.77737196,-3.197161624,-3.123954484,-8.888729659,9.949394405
31.78737096,-3.688167233,-4.408206232,-9.938065717,11.48041854
31.79737096,-4.670470519,-5.429891101,-6.75753182,9.846890297
31.80737096,-7.122574663,-5.953302855,-1.568862923,9.414574636
31.81736996,-10.45344047,-6.294299608,3.424993705,12.67372113
31.82736996,-12.83315784,-6.18731135,7.322783911,16.01861187
31.83736996,-13.73316011,-6.02211055,9.18632253,17.5856198
31.84736996,-13.18933864,-5.522554266,8.840232852,16.81091837
31.85736896,-12.26742102,-4.855143131,6.307300892,14.62340856
31.86736896,-11.98909472,-4.559572227,2.795048019,13.12784767
31.87736896,-12.0982482,-3.976138219,-0.6028619671,12.74914614
31.88736796,-12.19646272,-3.108573968,-3.835058938,13.15768262
31.89736796,-12.14052708,-2.678208956,-6.567141216,14.06031809
31.90736796,-11.16957353,-2.627962078,-7.821982931,13.8870074
31.91736796,-9.35211916,-2.537662942,-6.70423328,11.783404
31.92736696,-8.115649981,-2.40521766,-3.420572625,9.129576315
31.93736696,-7.919267151,-2.166538849,-0.1763894463,8.212173648
31.94736696,-8.185406095,-1.704755285,2.752222427,8.802374214
31.95736596,-8.992485577,-1.122614388,4.834615311,10.27124944
31.96736596,-9.921254972,-0.5808625491,5.316853897,11.27109741
31.97736596,-10.56859554,-0.1431655669,4.502284716,11.488528
31.98736596,-10.68033115,0.2369601685,3.060426825,11.11268806
31.99736496,-9.922374129,0.8826411496,0.9036836708,10.00246009
32.00736496,-8.815961645,1.371155698,-1.56657023,9.05844302
32.01736496,-8.11173761,1.729827122,-3.203101226,8.891144267
32.02736396,-7.982665586,2.019805749,-3.949030527,9.132218089
32.03736396,-8.09135597,2.072240071,-4.05249233,9.283690776
32.04736396,-8.247964286,1.751277925,-3.49567894,9.127741259
32.05736396,-7.81413129,1.311945038,-2.382079058,8.273823073
32.06736296,-7.54448694,0.813838571,-1.083627639,7.665237457
32.07736296,-7.841374052,0.3844602764,0.1954215485,7.853225217
32.08736296,-7.822592795,0.2305381715,0.980103271,7.887122943
32.09736296,-7.425948091,0.0344281134,0.8856110966,7.478649434
32.10736196,-6.546532704,-0.3243389127,0.4722825319,6.571555141
32.11736196,-5.591790562,-0.5327161369,0.1662556368,5.619568409
32.12736196,-4.995751711,-0.690383091,-0.1411161178,5.045203437
32.13736096,-4.546136495,-0.8490203905,-0.809429478,4.695036606
32.14736096,-4.390499986,-1.061587729,-1.346505007,4.713441882
32.15736096,-3.653711638,-1.051057771,-1.473546292,4.077458748
32.16735996,-3.002642009,-1.280343177,-1.576132767,3.624821676
32.17735996,-2.909636489,-1.728194872,-1.018437617,3.534099206
32.18735996,-3.065200785,-1.866940529,0.04586439013,3.589293291
32.19735996,-3.202918208,-2.136321169,0.9013149637,3.954101902
32.20735896,-2.976050626,-2.282778426,1.304761149,3.971190795
32.21735896,-2.285905225,-2.222517899,0.9654665208,3.331227118
32.22735896,-1.513924824,-2.620117453,-0.1881978983,3.031897474
32.23735896,-0.5692382113,-3.179707686,-0.9037848276,3.354310678
32.24735796,0.2263843095,-3.371789305,-0.761101656,3.464027815
32.25735796,0.2875124176,-3.647256312,0.03807063639,3.658769106
32.26735796,0.210794719,-3.839552231,1.085630311,3.995646246
32.27735696,0.3589781106,-3.763483756,2.127275527,4.33796916
32.28735696,-0.2956651173,-3.715219084,3.113335356,4.856246261
32.29735696,-0.766790339,-3.232351045,4.052233298,5.239909866
32.30735746,0.01048663409,-2.278446078,4.366122944,4.924881325
32.31735646,1.028793547,-1.922200225,3.692600884,4.28818973
32.32735646,1.770988451,-1.964003724,2.449848872,3.604923053
32.33735646,2.342487561,-1.862094356,1.596063001,3.391468778
32.34735546,2.583842789,-1.832785627,1.38572696,3.457685052
32.35735546,2.678892496,-1.787125889,1.648756939,3.617828546
32.36735546,2.741830463,-1.726307683,1.669177755,3.644712181
32.37735546,2.273815522,-1.376217048,1.872221734,3.25106515
32.38735446,1.646541429,-0.7494155569,2.099388986,2.771309522
32.39735446,1.70810764,-0.04805373386,2.248424572,2.824066913
32.40735446,2.065113485,0.3375923578,2.174287725,3.017646337
32.41735346,2.000027835,-0.3631695409,2.321473253,3.085650907
