"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.056964542E0,-2.420248805E-1,1.222176245E-1,2.092788064E0,2.110278434E0
2.066964542E0,7.838821158E-2,-1.424060136E-2,3.129715161E0,3.130729068E0
2.076963542E0,3.096268065E-1,8.764976263E-3,3.783408144E0,3.796066749E0
2.086963542E0,3.653745259E-1,-6.097271830E-2,3.843963078E0,3.861770108E0
2.096963542E0,4.097444408E-1,-2.667508551E-1,3.493682116E0,3.527727492E0
2.106963542E0,4.322864074E-1,-4.379324788E-1,2.864474934E0,2.929824746E0
2.116963542E0,4.432881629E-1,-5.004520780E-1,1.933230997E0,2.045565635E0
2.126963542E0,5.812991168E-1,-5.126388448E-1,8.282633597E-1,1.134340091E0
2.136963542E0,6.087677280E-1,-5.600340360E-1,-9.896997213E-3,8.272449569E-1
2.146962542E0,5.354581156E-1,-6.455098039E-1,-4.440036428E-1,9.489665617E-1
2.156962542E0,4.820865583E-1,-6.788830796E-1,-5.640458107E-1,1.005702422E0
2.166962542E0,3.205526213E-1,-6.273886979E-1,-5.112992477E-1,8.705156414E-1
2.176962542E0,1.294471950E-1,-6.087416348E-1,-3.738949424E-1,7.260305656E-1
2.186962542E0,-7.407391660E-2,-6.608230770E-1,-1.383936542E-1,6.792104885E-1
2.196962542E0,-2.035291515E-1,-7.572831318E-1,1.565837574E-1,7.996376244E-1
2.206962542E0,-2.433421851E-1,-8.429395786E-1,3.636699164E-1,9.497464716E-1
2.216961542E0,-3.169559989E-1,-8.567249742E-1,3.383310074E-1,9.741184000E-1
2.226961542E0,-2.953832815E-1,-8.857061139E-1,2.546748930E-1,9.677736844E-1
2.236961542E0,-2.100424381E-1,-9.855397198E-1,1.080623925E-1,1.013451452E0
2.246961542E0,-1.021176014E-1,-1.059172829E0,-6.275933504E-2,1.065933310E0
2.256961542E0,-8.625154719E-3,-9.964424381E-1,-2.034205395E-1,1.017030895E0
2.266961542E0,4.346330412E-2,-8.608127627E-1,-4.114428377E-1,9.550774209E-1
2.276961542E0,1.253218382E-1,-7.945103073E-1,-7.369310206E-1,1.090880159E0
2.286960542E0,1.969197513E-1,-7.116789427E-1,-1.068550009E0,1.298870058E0
2.296960542E0,1.324332950E-1,-5.910736880E-1,-1.211436079E0,1.354431267E0
2.306960542E0,-2.349265069E-3,-4.913152188E-1,-1.228289509E0,1.322910156E0
2.316960542E0,1.628157198E-3,-4.092249888E-1,-1.281588634E0,1.345339053E0
2.326960542E0,-7.373397410E-2,-3.071133077E-1,-1.424465348E0,1.459060249E0
2.336960542E0,-6.542756572E-2,-1.917652845E-1,-1.565569772E0,1.578627062E0
2.346959542E0,1.061002862E-1,-1.011679405E-1,-1.684309180E0,1.690677271E0
2.356959542E0,3.381156106E-1,-1.133950531E-2,-1.829753991E0,1.860766084E0
2.366959542E0,5.088640286E-1,-1.664731532E-2,-2.046112665E0,2.108505815E0
2.376959542E0,5.619272183E-1,-9.739122391E-3,-2.212404554E0,2.282671891E0
2.386959542E0,5.435586289E-1,2.279712439E-2,-2.253491185E0,2.318231699E0
2.396959542E0,4.898247635E-1,8.573830783E-2,-2.091453729E0,2.149757674E0
2.406959542E0,3.892626677E-1,1.201687601E-1,-1.777737161E0,1.823818897E0
2.416958542E0,3.474913285E-1,2.050381717E-1,-1.537895485E0,1.589941319E0
2.426958542E0,3.682298675E-1,2.900286207E-1,-1.384302578E0,1.461507257E0
2.436958542E0,4.023072211E-1,3.471173260E-1,-1.176206605E0,1.290660108E0
2.446958542E0,4.802626656E-1,3.691987512E-1,-8.982504380E-1,1.083426876E0
2.456958542E0,4.880495489E-1,3.481826887E-1,-6.688805401E-1,8.982342255E-1
2.466958542E0,4.263120148E-1,3.215913060E-1,-5.429291761E-1,7.615346297E-1
2.476958542E0,3.323582228E-1,3.545391968E-1,-4.828344172E-1,6.850467902E-1
2.486957542E0,2.269208647E-1,3.714701021E-1,-4.463589013E-1,6.234736436E-1
2.496957542E0,1.218044456E-1,3.504104778E-1,-4.695676696E-1,5.984292960E-1
2.506957542E0,1.253740246E-1,4.020615649E-1,-4.977354616E-1,6.520067007E-1
2.516957542E0,1.658402652E-1,5.225563073E-1,-5.556942326E-1,7.806178117E-1
2.526957542E0,1.640762334E-1,5.926726091E-1,-5.315154111E-1,8.128286807E-1
2.536957542E0,1.453099602E-1,6.848831999E-1,-4.281027246E-1,8.206411669E-1
2.546957542E0,1.539430817E-1,8.290892789E-1,-3.748872149E-1,9.228368917E-1
2.556956542E0,8.694159172E-2,9.513349700E-1,-3.307927769E-1,1.010950507E0
2.566956542E0,-2.847133555E-2,9.806909162E-1,-2.857347178E-1,1.021865754E0
2.576956542E0,3.420957372E-2,1.000427023E0,-2.154014844E-1,1.023924960E0
2.586956542E0,2.422949488E-1,1.014955600E0,-1.925032032E-1,1.061083972E0
2.596956542E0,4.060261233E-1,9.875102314E-1,-8.305151224E-2,1.070948749E0
2.606956542E0,5.319718594E-1,9.070659927E-1,2.556274045E-1,1.082177501E0
2.616956542E0,5.871974225E-1,8.372008288E-1,5.871124917E-1,1.179155256E0
2.626955542E0,6.040020280E-1,8.594404212E-1,8.453506780E-1,1.348359765E0
2.636955542E0,4.859569766E-1,7.902064642E-1,1.008123713E0,1.369997759E0
2.646955542E0,3.284667546E-1,6.993264073E-1,1.154843802E0,1.389464660E0
2.656955542E0,2.179110362E-1,9.539448747E-1,1.409453791E0,1.715825176E0
2.666955542E0,3.527025864E-1,1.736221930E0,1.206111605E0,2.143261745E0
2.676955542E0,4.757889609E-1,1.477503980E0,9.032404518E-1,1.795894334E0
2.686955542E0,4.569069128E-1,5.127870718E-1,1.149839171E0,1.339344850E0
2.696954542E0,3.268657869E-1,1.298035097E-1,1.425060595E0,1.467817391E0
2.706954542E0,1.814249953E-1,3.349519014E-2,1.935337749E0,1.944111406E0
2.716954542E0,1.456178161E-1,-2.443142116E-2,2.761375074E0,2.765319826E0
2.726954542E0,1.215865637E-1,3.517801881E-2,3.677401632E0,3.679579263E0
2.736953958E0,1.241855780E-1,-4.522909015E-2,4.372932027E0,4.374928827E0
2.746953958E0,3.151130296E-1,-3.558252919E-1,4.595967636E0,4.620479020E0
2.756953958E0,3.897541261E-1,-7.172337976E-1,4.360748768E0,4.436492130E0
2.766952958E0,3.199678997E-1,-1.042935696E0,3.472563727E0,3.639889169E0
2.776952958E0,1.701272976E-1,-1.299741899E0,2.427459299E0,2.758773450E0
2.786952958E0,-8.698931962E-2,-1.443750927E0,1.621999496E0,2.173215646E0
2.796952958E0,-3.377981067E-1,-1.427286045E0,1.068906105E0,1.814886574E0
2.806952958E0,-4.194635365E-1,-1.287971162E0,5.694626713E-1,1.469390046E0
2.816952958E0,-2.339525800E-1,-1.067117734E0,-1.593635237E-1,1.104024819E0
2.826952958E0,1.990963773E-1,-8.560540062E-1,-1.188955874E0,1.478541139E0
2.836952958E0,6.710468604E-1,-5.838962308E-1,-2.212481738E0,2.384599366E0
2.846951958E0,9.124449925E-1,-3.490781897E-1,-2.968062453E0,3.124708974E0
